Country,Refugees,Asylum-seekers,Returned refugees,IDPs,Returned IDPs,Stateless,Others of concern,Total
entre 29 y 60,225714,101,46148,947872,300,0,201284,1
entre 29 y 60,154,501,0,0,0,7443,0,1
entre 12 y 17,94144,5892,0,0,0,0,0,1
entre 18 y 28,15572,30086,2887,0,0,0,0,1
entre 29 y 60,0,10,0,0,0,0,0,2
entre 61 y 100,3523,897,0,0,0,0,0,1
ND,15690,114,0,0,0,238,0,1
entre 6 y 11,0,2,0,0,0,0,0,1
entre 29 y 60,35582,22837,0,0,0,0,0,1
entre 61 y 100,60747,30900,0,0,0,570,0,1
entre 29 y 60,1357,262,0,622892,0,3585,0,1
entre 18 y 28,7,19,0,0,0,0,30,3
entre 61 y 100,277,78,0,0,0,0,0,1
entre 6 y 11,232975,11,0,0,0,0,0,1
entre 12 y 17,1,0,0,0,0,0,0,1
entre 18 y 28,1369,257,0,0,0,6302,0,1
entre 29 y 60,31115,9396,0,0,0,5267,0,10
entre 61 y 100,0,146,0,0,0,0,0,2
entre 12 y 17,488,84,0,0,0,0,0,1
entre 18 y 28,767,8,0,0,0,0,0,1
entre 29 y 60,0,0,0,0,0,0,0,7
entre 61 y 100,6805,11,19,84500,0,79,52437,2
entre 29 y 60,2164,248,0,0,0,0,0,3
entre 61 y 100,7762,17902,0,0,0,2,40336,2
entre 61 y 100,0,0,0,0,0,0,0,1
ND,0,0,0,0,0,20524,0,1
entre 12 y 17,11046,7840,0,0,0,67,0,1
entre 29 y 60,34027,180,0,0,0,0,0,1
entre 61 y 100,54126,2733,11,78948,0,1302,590,2
entre 18 y 28,0,0,0,0,0,115,0,1
entre 29 y 60,80,33,0,0,0,0,131,2
entre 6 y 11,302293,7835,0,81693,0,0,0,1
entre 18 y 28,149163,14481,0,0,0,0,0,1
entre 29 y 60,6,1,0,0,0,0,100,6
entre 61 y 100,7906,394,1220,368859,138825,0,0,6
entre 12 y 17,420774,2749,0,0,0,0,50000,1
entre 18 y 28,1798,719,0,0,0,0,0,2
entre 29 y 60,301057,564,0,0,0,0,0,10
entre 61 y 100,151,9940,0,0,0,1,0,3
ND,0,6,0,0,0,0,0,15
entre 0 y 5,219,56,22,6520270,0,12,0,28
entre 6 y 11,0,0,0,0,0,0,0,37
entre 12 y 17,61492,3248,1,0,0,0,1069,59
entre 18 y 28,3475,1819,0,0,0,2613,0,92
entre 29 y 60,1972,667,74,24000,0,700000,57,182
entre 29 y 60,710,90,24,0,0,2886,13774,2
entre 61 y 100,313,12,0,0,0,0,0,45
entre 61 y 100,44,41,0,0,0,0,0,1
ND,5763,2339,0,0,0,0,6000,14
